score	content	date	label
5	병원 검색할때 찾기 쉽고 똑딱쓰는 병원은 예약하기 편하고 좋아요. 여러 병원이 이용했음 좋겠어요	2022-11-07	0
5	바라던 앱에다 이름까지 귀엽고!이 앱 만들어주셔서 감사해요♡	2016-06-16	0
5	인터넷에서 하나하나 찾을 필요없이 건강정보를 한번에 볼수있어서 편리합니다. 용어도 별로 안 어려워서 슥슥 읽어도 다 이해가 되네요ㅎㅎ 진단부터 병원찾기까지 다되서 두고두고 쓸만한 앱인것같네요	2015-12-17	0
5	허위.과장은NO빠른정보검색.간편상담예약.관심설정으로나에게꼭필요한정보제공.단독제휴로교육비의료비10~50%절감..카드포인트만유용하다구요?아니죠.이제부턴세이업으로 교육비.의료비도 혜택받으세요~♥♥	2015-02-04	0
5	멤버쉽 정말 최소한의 비용만 받으시네여ㅠㅠ 감사합니다 번창하세여 똑딱 너무 편리하고 유용하게 잘 쓰고 있어요 화이팅!	2023-08-04	0
5	예약되니 편하고 오래 안기다려서 좋아요^^	2019-12-17	0
5	아기 병원갈때마다 유용해요. 다니는 산부인과에서도 도입하면 참 좋을 것 같아요.	2021-10-16	0
5	한번씩은 필요로 하는 어플이거든요.이런 어플 있었으면 좋겠다 싶었는데 진짜  멋져요!! 감사합니다 왕추천!!	2015-02-26	0
5	병원비나 학원비 걱정되시는분들께 강추~할인도 받을 수 있고 정보도 얻을 수 있으니 정말 유용하고 앞으로 두고두고 잘 쓰겠습니다ㅎㅎ	2015-02-04	0
5	어플이아주유용해요ㅎㅎ비용부담잇는 피부과나치과에할인혜택이라는게참매력잇네요 사용추천합니다!	2015-02-03	0
5	앱자체는 편리하고 좋아요 사용하는 병원이 더 많아지면 좋겠어요.	2023-06-24	0
5	좋아요 예약도되고 아이를 다른사람이 병원데려가도 실시간상황도알수있구요^^	2020-05-12	0
5	좋아요.. 두시간씩 대기하고 그랬는데 똑닥 덕분에 병원가기가 정말 편리해졌어요.	2020-03-07	0
5	아픈환자들 많은 병원에서 대기하지 않아서 좋아요	2022-08-20	0
5	아기 병원갈때마다 예약하기 편하고 좋아요	2019-08-13	0
5	병원 갈 때 편리하게 이용하고 있어요	2021-12-15	0
5	좋아요~아침 예약접수도 됐음 좋겠네요^^	2019-06-18	0
5	신속하고 빠르게 진료 끝나서 좋았어요	2022-03-05	0
5	일단 병원예약한뒤 시간에맞게 방문해진료볼수있어 감사합니다	2022-12-30	0
5	덕분에 병원가기 좋아졌어요 감사합니다	2023-08-07	0
4	먼거리 병원을 예약 잡을수 있어서 편리해요 하지만 예방접종과 진료를 동시에 예약 할수 없어서 아쉬워용 ㅠㅠ	2020-02-01	0
5	아이가 접수하고 기다리지않아서 좋아요	2020-02-06	0
5	일상생활에서  유용하게  사용할수있어서 좋습니다  이 앱을  만드신  분들이  참 좋군요 병원비 10_50%까지 할인혜택을  받을수가 있네요	2015-02-04	0
5	타지에서 생활하고 있는 대학생입니다. 워낙 이곳이 외지이기도 해서 현지분들께 물어물어 병원가야하는데 제가 숫기가 없어서 잘 못하는데 똑닥이 생기고 나서부턴 아플 때 혼자 누워서 참지 않고도 쉽게 갈 수 있게 되는 점이 제일 좋습니다. 그리고 건강 정보들도 알 수 있다는게 단순히 병원 위치들만 알려주는 것보다 유용하고 좋은 것 같습니다!	2017-06-07	0
5	우리아기 병원예약 늘 똑딱으로 해서 다니고있어요. 편리합니다^^	2021-10-12	0
5	실생활에  꼭 필요한 유용한 정보와 다양한 혜택을 누릴 수 있는 세이업 별5개가 아깝지 않는 좋은 앱이기에 여러분에게 강추합니다~♡♡	2015-02-04	0
5	덕분에 근처에 병원찾아 헤매지 않아도 되네요. 편리한 앱 고맙습니다!!	2016-08-26	0
